"city","year","soda_daily","philly","post_period"
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,0,1,0
"Philadelphia",2013,1,1,0
